Time,Open,High,Low,Close,Tick Volume
1546318800.0,7989.803,7990.783,7981.851,7985.697,1732.0
1546322400.0,7985.807,7994.125,7984.129,7985.746,1797.0
1546326000.0,7985.621,7991.298,7979.697,7985.078,1798.0
1546329600.0,7984.991,7999.997,7983.987,7989.836,1797.0
1546333200.0,7989.806,7992.654,7983.357,7985.492,1798.0
1546336800.0,7985.532,7998.672,7984.05,7991.16,1797.0
1546340400.0,7991.214,7994.076,7984.982,7990.07,1798.0
1546344000.0,7989.942,7998.093,7987.385,7996.703,1798.0
1546347600.0,7996.377,8001.259,7991.544,7999.623,1797.0
1546351200.0,7999.913,8003.478,7991.916,7992.488,1796.0
1546354800.0,7992.308,7994.501,7970.62,7976.858,1796.0
1546358400.0,7976.813,7978.501,7968.954,7973.403,1793.0
1546362000.0,7973.351,7980.183,7970.213,7977.905,1795.0
1546365600.0,7977.893,7983.361,7973.511,7980.349,1799.0
1546369200.0,7980.088,7986.645,7974.406,7974.973,1794.0
1546372800.0,7975.132,7980.0,7961.027,7963.477,1799.0
1546376400.0,7963.131,7963.322,7947.341,7954.157,1796.0
1546380000.0,7954.377,7955.317,7944.522,7950.534,1792.0
1546383600.0,7950.659,7963.51,7950.48,7962.674,1799.0
1546387200.0,7962.688,7972.433,7959.479,7966.785,1794.0
1546390800.0,7966.657,7971.278,7963.183,7970.615,1795.0
1546394400.0,7970.602,7982.205,7969.944,7970.038,1797.0
1546398000.0,7970.002,7970.741,7959.599,7967.41,1797.0
1546401600.0,7967.039,7975.722,7962.022,7967.304,1796.0
1546405200.0,7967.539,7973.255,7963.394,7973.062,1795.0
1546408800.0,7973.158,7978.195,7970.554,7972.901,1795.0
1546412400.0,7973.1,7987.396,7970.902,7978.856,1799.0
1546416000.0,7978.827,7981.752,7972.253,7975.252,1796.0
1546419600.0,7975.185,7979.197,7970.68,7975.46,1799.0
1546423200.0,7975.571,7982.262,7972.38,7979.287,1794.0
1546426800.0,7978.896,7984.224,7975.28,7977.453,1797.0
1546430400.0,7977.725,7981.273,7969.373,7970.068,1799.0
1546434000.0,7970.103,7989.587,7968.149,7987.281,1799.0
1546437600.0,7987.007,7992.371,7979.871,7983.415,1797.0
1546441200.0,7983.473,7992.656,7978.028,7990.675,1796.0
1546444800.0,7990.912,7999.878,7986.885,7999.878,1800.0
1546448400.0,7999.641,8006.375,7990.092,8004.644,1795.0
1546452000.0,8004.736,8006.805,7991.136,7993.757,1794.0
1546455600.0,7993.714,7994.362,7980.206,7981.74,1798.0
1546459200.0,7981.662,7990.512,7980.521,7981.316,1793.0
1546462800.0,7981.696,7994.138,7980.457,7994.001,1792.0
1546466400.0,7993.949,8008.832,7993.949,8003.116,1793.0
1546470000.0,8003.083,8016.388,8000.741,8016.094,1792.0
1546473600.0,8016.421,8020.855,8001.279,8003.223,1794.0
