open,high,low,close
1287.3,1287.4,1286.18,1286.44
1286.42,1286.88,1286.34,1286.48
1286.48,1287.12,1286.28,1287.02
1287.02,1287.12,1286.53,1286.93
1286.93,1287.23,1284.96,1285.48
1285.48,1286.06,1284.32,1284.74
1284.8,1285.0,1283.27,1284.12
1284.12,1284.94,1283.72,1284.55
1284.55,1284.75,1283.89,1284.5
1284.5,1285.33,1284.17,1284.78
1284.78,1284.92,1282.29,1282.33
1282.33,1283.11,1281.59,1282.88
1282.88,1282.93,1281.7,1282.22
1282.22,1282.4,1280.83,1281.67
1281.67,1282.96,1281.64,1282.94
1282.94,1283.56,1282.76,1283.37
1283.37,1283.55,1281.86,1282.16
1282.16,1282.87,1281.18,1281.99
1281.99,1284.49,1281.9,1284.1
1284.1,1285.4,1284.0,1285.34
1285.34,1285.94,1284.04,1284.34
1284.34,1284.38,1274.0,1278.15
1278.15,1279.45,1276.66,1277.47
1277.37,1281.61,1277.34,1279.89
1279.89,1281.29,1278.51,1279.75
1279.75,1280.27,1278.18,1278.57
1278.57,1282.7,1277.32,1282.12
1282.22,1283.1,1281.04,1282.02
1282.02,1282.56,1281.06,1281.62
1281.62,1281.7,1280.34,1280.42
1280.42,1282.75,1279.94,1281.88
1281.88,1282.65,1281.15,1282.22
1282.22,1282.36,1277.65,1279.4
1279.4,1280.54,1278.66,1278.96
1278.96,1280.04,1278.96,1279.74
1279.74,1280.0,1279.04,1279.28
1279.58,1280.19,1279.01,1279.11
1279.18,1279.78,1278.42,1278.55
1278.55,1280.0,1278.42,1279.34
1279.34,1280.33,1278.94,1279.58
1279.58,1279.82,1278.53,1278.7
1278.7,1279.16,1278.12,1278.8
1278.8,1280.96,1278.72,1280.36
1280.34,1281.07,1279.28,1279.43
1279.43,1279.84,1278.88,1279.04
1279.04,1279.64,1279.04,1279.63
1279.63,1279.63,1278.63,1278.73
1278.84,1279.43,1278.73,1278.94
1278.94,1279.2,1278.73,1279.05
1279.05,1279.46,1278.85,1279.46
1279.45,1279.5,1277.28,1278.84
1278.84,1280.14,1278.7,1279.44
1279.5,1279.65,1278.55,1279.47
1279.47,1281.39,1279.13,1280.53
1280.53,1282.15,1279.96,1280.66
1280.66,1280.76,1277.89,1278.51
1278.51,1279.46,1277.8,1279.45
1279.45,1280.49,1277.1,1278.69
1278.69,1279.78,1278.49,1279.34
1279.33,1280.06,1278.64,1278.95
1278.87,1279.16,1277.43,1278.68
1278.68,1278.68,1277.57,1278.17
1278.17,1279.56,1278.16,1278.98
1278.98,1279.32,1278.45,1279.23
1279.13,1280.85,1279.03,1280.57
1280.57,1282.17,1279.15,1279.29
1279.29,1280.16,1276.57,1279.98
1279.98,1282.83,1278.55,1281.95
1281.95,1282.27,1279.36,1280.77
1280.77,1283.17,1280.57,1282.51
1282.51,1283.44,1281.31,1281.54
1281.54,1281.94,1277.74,1278.18
1278.18,1280.23,1276.65,1279.72
1279.72,1281.39,1279.07,1280.68
1280.67,1282.56,1280.67,1281.91
1281.91,1282.06,1279.18,1279.66
1279.6,1281.85,1279.46,1280.92
1280.88,1281.05,1279.35,1280.78
1280.78,1281.82,1279.88,1281.48
1281.48,1281.68,1280.68,1281.23
1281.18,1281.8,1280.93,1281.54
1281.56,1281.81,1281.41,1281.71
1281.64,1281.83,1280.82,1281.28
1281.28,1282.34,1281.02,1281.27
1281.27,1281.9,1280.12,1281.5
1281.5,1281.59,1280.6,1280.95
1280.95,1281.67,1280.66,1280.79
1280.79,1281.62,1280.46,1281.48
1281.48,1281.59,1280.56,1281.26
1281.18,1281.32,1280.59,1280.85
1280.78,1280.78,1279.89,1280.03
1280.03,1280.56,1279.44,1279.6
1279.6,1280.22,1279.44,1280.21
1280.12,1280.5,1279.35,1280.0
1280.0,1280.0,1279.6,1279.75
1279.75,1280.01,1279.6,1279.81
1279.81,1280.31,1279.6,1279.86
1279.86,1280.66,1279.76,1280.14
1280.16,1280.35,1279.42,1279.57
1279.57,1280.38,1279.46,1279.46
1279.51,1280.07,1278.46,1279.88
1279.88,1280.68,1279.67,1280.21
1280.21,1281.41,1280.21,1280.69
1280.73,1281.91,1280.41,1281.34
1281.34,1281.62,1280.75,1281.42
1281.33,1281.63,1280.45,1280.9
1280.9,1281.56,1280.6,1281.53
1281.53,1283.2,1281.4,1282.79
1282.79,1285.67,1282.7,1284.16
1284.26,1284.34,1283.05,1283.4
1283.4,1284.28,1282.4,1282.46
1282.46,1283.18,1281.67,1282.37
1282.37,1283.78,1281.77,1283.07
1283.03,1283.23,1282.03,1282.91
1282.91,1283.75,1279.03,1281.11
1281.11,1284.77,1280.61,1284.08
1284.08,1287.27,1283.59,1283.69
1283.69,1284.8,1282.3,1284.47
1284.4,1286.78,1284.37,1286.48
1286.48,1286.68,1285.5,1286.55
1286.55,1288.23,1285.46,1287.18
1287.18,1287.22,1283.86,1285.14
1285.1,1285.88,1283.62,1284.48
1284.48,1285.74,1283.84,1284.6
1284.6,1285.97,1284.48,1284.7
1284.7,1285.55,1284.05,1284.8
1284.8,1284.99,1284.4,1284.89
1284.89,1285.09,1284.21,1284.47
1265.82,1266.14,1265.3,1265.78
1265.76,1265.83,1264.66,1264.9
1264.87,1266.66,1264.24,1264.36
1264.36,1265.07,1263.84,1264.86
1264.86,1265.49,1264.4,1265.39
1265.39,1265.39,1264.32,1264.88
1264.88,1265.25,1264.46,1264.5
1264.46,1264.88,1263.64,1264.72
1264.72,1265.04,1264.3,1264.4
1264.4,1264.5,1263.69,1264.1
1263.89,1264.3,1263.79,1263.88
1263.8,1264.26,1263.08,1264.16
1264.26,1265.03,1263.52,1263.9
1263.9,1265.26,1263.74,1263.94
1263.94,1264.24,1263.24,1264.13
1264.13,1264.43,1263.3,1263.86
1263.86,1264.76,1263.64,1264.44
1264.44,1265.3,1264.34,1264.63
1264.63,1265.4,1264.63,1265.14
1265.14,1265.91,1264.9,1264.9
1264.9,1265.22,1264.54,1264.98
1264.98,1265.17,1264.88,1265.12
1265.18,1265.57,1264.98,1265.47
1265.4,1265.64,1265.08,1265.63
1265.63,1265.8,1264.9,1264.9
1264.9,1265.27,1264.8,1265.06
1265.06,1266.16,1264.6,1266.02
1266.02,1266.06,1265.56,1265.84
1265.84,1266.1,1264.8,1266.0
1266.0,1266.5,1265.27,1265.56
1265.56,1265.86,1265.17,1265.63
1265.66,1267.36,1265.63,1266.95
1267.05,1267.57,1266.21,1266.67
1266.71,1266.71,1266.0,1266.31
1266.33,1266.93,1266.13,1266.53
1266.53,1267.17,1266.52,1266.55
1266.55,1268.03,1266.41,1267.45
1267.45,1268.06,1267.14,1267.46
1267.46,1268.47,1266.49,1267.12
1267.12,1267.67,1264.56,1266.56
1266.56,1266.62,1264.07,1264.5
1264.5,1267.32,1264.18,1266.34
1266.34,1267.12,1265.09,1266.63
1266.63,1267.26,1265.71,1266.82
1266.93,1268.28,1266.07,1267.39
1267.39,1268.12,1266.93,1267.17
1267.13,1267.21,1265.93,1266.43
1266.43,1267.41,1266.36,1266.89
1266.89,1267.38,1266.3,1266.98
1266.98,1267.42,1266.58,1267.33
1267.33,1267.52,1266.94,1267.19
1267.19,1267.69,1266.68,1267.61
1267.61,1267.96,1267.23,1267.4
1267.39,1268.56,1267.34,1268.52
